Week 1,,,
,1:00 PM,Carolina Panthers,Tampa Bay Buccaneers
,1:00 PM,Chicago Bears,Detroit Lions
,1:00 PM,Cleveland Browns,Washington Commanders
,1:00 PM,Denver Broncos,Kansas City Chiefs
,1:00 PM,Indianapolis Colts,New York Giants
,1:00 PM,Jacksonville Jaguars,Houston Texans
,1:00 PM,Miami Dolphins,New England Patriots
,1:00 PM,New Orleans Saints,Philadelphia Eagles
,1:00 PM,Pittsburgh Steelers,Baltimore Ravens
,4:05 PM,New York Jets,Seattle Seahawks
,4:05 PM,San Francisco 49ers,Las Vegas Raiders
,4:25 PM,Minnesota Vikings,Green Bay Packers
,8:20 PM,Los Angeles Rams,Los Angeles Chargers
Sun Jan 2,8:30 PM,Buffalo Bills,Cincinnati Bengals
Week 18,,,
Date,Time (ET),Away Team,Home Team
Sat Jan 8,1:00 PM,Arizona Cardinals,San Francisco 49ers
,1:00 PM,Baltimore Ravens,Cincinnati Bengals
,1:00 PM,Carolina Panthers,New Orleans Saints
,1:00 PM,Cleveland Browns,Pittsburgh Steelers
,1:00 PM,Dallas Cowboys,Washington Commanders
,1:00 PM,Detroit Lions,Green Bay Packers
,1:00 PM,Houston Texans,Indianapolis Colts
,1:00 PM,Kansas City Chiefs,Las Vegas Raiders
,1:00 PM,Los Angeles Chargers,Denver Broncos
,1:00 PM,Los Angeles Rams,Seattle Seahawks
,1:00 PM,Minnesota Vikings,Chicago Bears
,1:00 PM,New England Patriots,Buffalo Bills
,1:00 PM,New York Giants,Philadelphia Eagles
,1:00 PM,New York Jets,Miami Dolphins
,1:00 PM,Tampa Bay Buccaneers,Atlanta Falcons
,1:00 PM,Tennessee Titans,Jacksonville Jaguars
